artist,rank,song,year
Donell Jones,81,Where I Wanna Be,2000
Toby Keith,82,How Do You Like Me Now?!,2000
Tim McGraw,83,My Best Friend,2000
Goo Goo Dolls,84,Broadway,2000
Da Brat,85,What'chu Like,2000
Kandi,86,Don't Think I'm Not,2000
Lee Ann Womack,87,I Hope You Dance,2000
Alice Deejay,88,Better Off Alone,2000
Debelah Morgan,89,Dance with Me,2000
Lonestar,90,What About Now,2000
Sammie,91,I Like It,2000
Kevon Edmonds,92,24/7,2000
LFO,93,Girl on TV,2000
Lil' Bow Wow,94,Bounce with Me,2000
Dixie Chicks,95,Cowboy Take Me Away,2000
Aaliyah,96,I Don't Wanna,2000
Destiny's Child,97,Independent Women,2000
Samantha Mumba,98,Gotta Tell You,2000
Jennifer Lopez,99,Waiting for Tonight,2000
Mary Mary,100,Shackles (Praise You),2000
Lifehouse,1,Hanging by a Moment,2001
Alicia Keys,2,Fallin',2001
Janet Jackson,3,All for You,2001
Train,4,Drops of Jupiter (Tell Me),2001
Jennifer Lopez,5,I'm Real,2001
Matchbox Twenty,6,If You're Gone,2001
Eve,7,Let Me Blow Ya Mind,2001
Dido,8,Thank You,2001
Lenny Kravitz,9,Again,2001
Destiny's Child,10,Independent Women,2001
Blu Cantrell,11,Hit 'Em Up Style (Oops!),2001
Shaggy,12,It Wasn't Me,2001
Joe,13,Stutter,2001
Staind,14,It's Been Awhile,2001
Usher,15,U Remind Me,2001
Jagged Edge,16,Where the Party At,2001
Shaggy,17,Angel,2001
Nelly,18,Ride wit Me,2001
Uncle Kracker,19,Follow Me,2001
112,20,Peaches &amp; Cream,2001
Incubus,21,Drive,2001
City High,22,What Would You Do?,2001
Destiny's Child,23,Survivor,2001
Christina Aguilera,24,Lady Marmalade,2001
OutKast,25,Ms. Jackson,2001
Jennifer Lopez,26,Love Don't Cost a Thing,2001
Faith Hill,27,The Way You Love Me,2001
Dream,28,He Loves U Not,2001
Crazy Town,29,Butterfly,2001
Ja Rule,30,Put It on Me,2001
Mary J. Blige,31,Family Affair,2001
Lee Ann Womack,32,I Hope You Dance,2001
Moby,33,South Side,2001
Madonna,34,Don't Tell Me,2001
Missy Elliott,35,Get Ur Freak On,2001
K-Ci &amp; JoJo,36,Crazy,2001
Craig David,37,Fill Me In,2001
Janet Jackson,38,Someone to Call My Lover,2001
Creed,39,With Arms Wide Open,2001
Mýa,40,Case of the Ex,2001
O-Town,41,All or Nothing,2001
Destiny's Child,42,Bootylicious,2001
Nelly Furtado,43,I'm Like a Bird,2001
3 Doors Down,44,Kryptonite,2001
R. Kelly,45,Fiesta,2001
Sugar Ray,46,When It's Over,2001
Aerosmith,47,Jaded,2001
Jagged Edge,48,Promise,2001
Case,49,Missing You,2001
Ginuwine,50,Differences,2001
'N Sync,51,This I Promise You,2001
Jay-Z,52,Izzo (H.O.V.A.),2001
Lil' Mo,53,Superwoman Pt. II,2001
Evan and Jaron,54,Crazy for This Girl,2001
Ricky Martin,55,Nobody Wants to Be Lonely,2001
Jay-Z,56,I Just Wanna Love U (Give It 2 Me),2001
Missy Elliott,57,One Minute Man,2001
Mystikal,58,Danger (Been So Long),2001
Enya,59,Only Time,2001
Toya,60,I Do!!,2001
S Club 7,61,Never Had a Dream Come True,2001
Tamia,62,Stranger in My House,2001
Jessica Simpson,63,Irresistible,2001
Sunshine Anderson,64,Heard It All Before,2001
Dave Matthews Band,65,The Space Between,2001
Faith Hill,66,There You'll Be,2001
Musiq Soulchild,67,Love,2001
112,68,It's Over Now,2001
3LW,69,No More (Baby I'ma Do Right),2001
Nelly Furtado,70,Turn Off the Light,2001
Brooks &amp; Dunn,71,Ain't Nothing 'bout You,2001
Jennifer Lopez,72,Play,2001
Lonestar,73,I'm Already There,2001
Lil' Romeo,74,My Baby,2001
U2,75,Beautiful Day,2001
Blake Shelton,76,Austin,2001
Ludacris,77,Southern Hospitality,2001
Tim McGraw,78,Grown Men Don't Cry,2001
Ja Rule,79,Livin' It Up,2001
Mariah Carey,80,Loverboy,2001
The Isley Brothers,81,Contagious,2001
Jessica Andrews,82,Who I Am,2001
Erick Sermon,83,Music,2001
Willa Ford,84,I Wanna Be Bad,2001
Kenny Chesney,85,Don't Happen Twice,2001
Diamond Rio,86,One More Day,2001
R. Kelly,87,I Wish,2001
Travis Tritt,88,It's a Great Day to Be Alive,2001
Trick Daddy,89,"""I'm a Thug""",2001
Eve 6,90,Here's to the Night,2001
Toby Keith,91,You Shouldn't Kiss Me Like This,2001
Eden's Crush,92,Get Over Yourself,2001
Debelah Morgan,93,Dance with Me,2001
Outkast,94,So Fresh So Clean,2001
Nelly,95,E.I.,2001
3 Doors Down,96,Be Like That,2001
Pink,97,Most Girls,2001
Nas,98,Oochie Wally,2001
Enrique Iglesias,99,Hero,2001
Fuel,100,Hemorrhage (In My Hands),2001
Nickelback,1,How You Remind Me,2002
Ashanti,2,Foolish,2002
Nelly,3,Hot in Herre,2002
Nelly,4,Dilemma,2002
The Calling,5,Wherever You Will Go,2002
Vanessa Carlton,6,A Thousand Miles,2002
Linkin Park,7,In the End,2002
Fat Joe,8,What's Luv?,2002
Usher,9,U Got It Bad,2002
Puddle of Mudd,10,Blurry,2002
Avril Lavigne,11,Complicated,2002
Ja Rule,12,Always on Time,2002
Jennifer Lopez,13,Ain't It Funny,2002
Jimmy Eat World,14,The Middle,2002
P. Diddy,15,I Need a Girl (Part One),2002
Usher,16,U Don't Have to Call,2002
Mary J. Blige,17,Family Affair,2002
P. Diddy,18,I Need a Girl (Part Two),2002
Eve,19,Gangsta Lovin',2002
Creed,20,My Sacrifice,2002
Eminem,21,Without Me,2002
Enrique Iglesias,22,Hero,2002
Michelle Branch,23,All You Wanted,2002
Pink,24,Get the Party Started,2002
Chad Kroeger,25,Hero,2002
Default,26,Wasting My Time,2002
Creed,27,One Last Breath,2002
Shakira,28,"Whenever, Wherever",2002
Jennifer Lopez,29,I'm Gonna Be Alright,2002
Cam'ron,30,Oh Boy,2002
DJ Sammy,31,Heaven,2002
No Doubt,32,Hey Baby,2002
'N Sync,33,Girlfriend,2002
Mario,34,Just a Friend 2002,2002
Sheryl Crow,35,Soak Up the Sun,2002
Pink,36,Don't Let Me Get Me,2002
N.O.R.E.,37,Nothin',2002
Tweet,38,Oops (Oh My),2002
Kelly Clarkson,39,A Moment Like This,2002
Truth Hurts,40,Addictive,2002
Ashanti,41,Happy,2002
John Mayer,42,No Such Thing,2002
Pink,43,Just Like a Pill,2002
Ja Rule,44,Down 4 U,2002
Kylie Minogue,45,Can't Get You Out of My Head,2002
Five for Fighting,46,Superman (It's Not Easy),2002
Eminem,47,Cleanin' Out My Closet,2002
Musiq Soulchild,48,Halfcrazy,2002
Mr. Cheeks,49,"Lights, Camera, Action!",2002
Big Tymers,50,Still Fly,2002
Alicia Keys,51,A Woman's Worth,2002
Craig David,52,7 Days,2002
Cam'ron,53,Hey Ma,2002
Missy Elliott,54,Work It,2002
Ludacris,55,Move Bitch,2002
LeAnn Rimes,56,Can't Fight the Moonlight,2002
Enrique Iglesias,57,Escape,2002
Aaliyah,58,More than a Woman,2002
No Doubt,59,Hella Good,2002
Faith Evans,60,I Love You,2002
Daniel Bedingfield,61,Gotta Get thru This,2002
Busta Rhymes,62,"Pass the Courvoisier, Part II",2002
Eminem,63,Lose Yourself,2002
Michael Jackson,64,Butterflies,2002
Brandy,65,What About Us?,2002
Shakira,66,Underneath Your Clothes,2002
Mary J. Blige,67,Rainy Dayz,2002
Ginuwine,68,Differences,2002
Angie Martinez,69,If I Could Go!,2002
Outkast,70,The Whole World,2002
No Doubt,71,Underneath It All,2002
City High,72,Caramel,2002
LL Cool J,73,Luv U Better,2002
Sean Paul,74,Gimme the Light,2002
'N Sync,75,Gone,2002
Ja Rule,76,Livin' It Up,2002
Ludacris,77,Rollout (My Business),2002
Goo Goo Dolls,78,Here Is Gone,2002
Mary J. Blige,79,No More Drama,2002
Dirty Vegas,80,Days Go By,2002
Ashanti,81,Baby,2002
Kenny Chesney,82,The Good Stuff,2002
Fat Joe,83,We Thuggin',2002
Steve Holy,84,Good Morning Beautiful,2002
Aaliyah,85,Rock the Boat,2002
Alan Jackson,86,Drive (For Daddy Gene),2002
Jewel,87,Standing Still,2002
Jaheim,88,"""Anything""",2002
Brandy,89,Full Moon,2002
B2K,90,Uh Huh,2002
Celine Dion,91,A New Day Has Come,2002
Nelly Furtado,92,Turn Off the Light,2002
George Strait,93,Living and Living Well,2002
Toby Keith,94,My List,2002
Alanis Morissette,95,Hands Clean,2002
Avril Lavigne,96,Sk8er Boi,2002
Dixie Chicks,97,Long Time Gone,2002
Alan Jackson,98,Where Were You (When the World Stopped Turning),2002
Justin Timberlake,99,Like I Love You,2002
Toya,100,I Do!!,2002
50 Cent,1,In da Club,2003
R. Kelly,2,Ignition (Remix),2003
Sean Paul,3,Get Busy,2003
Beyoncé,4,Crazy in Love,2003
3 Doors Down,5,When I'm Gone,2003
Matchbox Twenty,6,Unwell,2003
Chingy,7,Right Thurr,2003
Aaliyah,8,Miss You,2003
Kid Rock,9,Picture,2003
Evanescence,10,Bring Me to Life,2003
Lil Jon &amp; The East Side Boyz,11,Get Low,2003
Beyoncé,12,Baby Boy,2003
Nelly,13,Shake Ya Tailfeather,2003
50 Cent,14,21 Questions,2003
Jennifer Lopez,15,All I Have,2003
Christina Aguilera,16,Beautiful,2003
Busta Rhymes,17,I Know What You Want,2003
Avril Lavigne,18,I'm with You,2003
Uncle Kracker,19,Drift Away,2003
Lil' Kim,20,Magic Stick,2003
50 Cent,21,P.I.M.P.,2003
B2K,22,"Bump, Bump, Bump",2003
Fabolous,23,Into You,2003
Fabolous,24,Can't Let You Go,2003
Ja Rule,25,Mesmerize,2003
The Black Eyed Peas,26,Where Is the Love?,2003
Santana,27,The Game of Love,2003
Eminem,28,Lose Yourself,2003
Ashanti,29,Rock wit U (Awww Baby),2003
Justin Timberlake,30,Cry Me a River,2003
Tyrese,31,How You Gonna Act Like That,2003
Justin Timberlake,32,Rock Your Body,2003
Wayne Wonder,33,No Letting Go,2003
Pharrell,34,Frontin',2003
Dixie Chicks,35,Landslide,2003
Missy Elliott,36,Work It,2003
Jay-Z,37,'03 Bonnie &amp; Clyde,2003
Nivea,38,Don't Mess with My Man,2003
Monica,39,So Gone,2003
Nelly,40,Air Force Ones,2003
Lumidee,41,"Never Leave You (Uh Oooh, Uh Oooh)",2003
Snoop Dogg,42,Beautiful,2003
Missy Elliott,43,Gossip Folks,2003
Kelly Clarkson,44,Miss Independent,2003
Train,45,Calling All Angels,2003
YoungBloodZ,46,Damn!,2003
Clay Aiken,47,This Is the Night,2003
John Mayer,48,Your Body Is a Wonderland,2003
Trapt,49,Headstrong,2003
Ginuwine,50,In Those Jeans,2003
Ludacris,51,Stand Up,2003
Jason Mraz,52,The Remedy (I Won't Worry),2003
Santana,53,Why Don't You &amp; I,2003
Jay-Z,54,Excuse Me Miss,2003
Jennifer Lopez,55,Jenny from the Block,2003
Michelle Branch,56,Are You Happy Now?,2003
Shania Twain,57,Forever and for Always,2003
Nas,58,I Can,2003
No Doubt,59,Underneath It All,2003
Daniel Bedingfield,60,If You're Not the One,2003
R. Kelly,61,Thoia Thoing,2003
3 Doors Down,62,Here Without You,2003
50 Cent,63,Wanksta,2003
Mýa,64,My Love Is Like...Wo,2003
Alan Jackson,65,It's Five O'Clock Somewhere,2003
Sean Paul,66,Like Glue,2003
Christina Aguilera,67,Can't Hold Us Down,2003
Lonestar,68,My Front Porch Looking In,2003
Amanda Perez,69,Angel,2003
Puddle of Mudd,70,She Hates Me,2003
Frankie J,71,Don't Wanna Try,2003
Lil' Kim,72,The Jump Off,2003
Jewel,73,Intuition,2003
Ginuwine,74,Hell Yeah,2003
Toby Keith,75,Beer for My Horses,2003
Chingy,76,Holidae In,2003
Baby Bash,77,Suga Suga,2003
Erykah Badu,78,Love of My Life (An Ode to Hip-Hop),2003
Christina Aguilera,79,Fighter,2003
2Pac,80,Thugz Mansion,2003
Coldplay,81,Clocks,2003
Jaheim,82,"""Put That Woman First""",2003
Ashanti,83,Rain on Me,2003
Mark Wills,84,19 Somethin',2003
Young Gunz,85,"Can't Stop, Won't Stop",2003
Brooks &amp; Dunn,86,Red Dirt Road,2003
Dierks Bentley,87,What Was I Thinkin',2003
Ruben Studdard,88,Flying Without Wings,2003
Eminem,89,Sing for the Moment,2003
Darryl Worley,90,Have You Forgotten?,2003
Kenny Chesney,91,"No Shoes, No Shirt, No Problems",2003
Aaliyah,92,Come Over,2003
Field Mob,93,Sick of Being Lonely,2003
R. Kelly,94,Step in the Name of Love,2003
Thalía,95,I Want You,2003
Audioslave,96,Like a Stone,2003
Norah Jones,97,Don't Know Why,2003
Eminem,98,Superman,2003
Tim McGraw,99,Real Good Man,2003
Floetry,100,Say Yes,2003
Usher,1,Yeah!,2004
Usher,2,Burn,2004
Alicia Keys,3,If I Ain't Got You,2004
Maroon 5,4,This Love,2004
Outkast,5,The Way You Move,2004
Hoobastank,6,The Reason,2004
Mario Winans,7,I Don't Wanna Know,2004
Outkast,8,Hey Ya!,2004
Ciara,9,Goodies,2004
Terror Squad,10,Lean Back,2004
J-Kwon,11,Tipsy,2004
Usher,12,Confessions Part II,2004
Juvenile,13,Slow Motion,2004
Petey Pablo,14,Freek-a-Leek,2004
3 Doors Down,15,Here Without You,2004
Twista,16,Slow Jamz,2004
Nickelback,17,Someday,2004
Beyoncé,18,Naughty Girl,2004
Evanescence,19,My Immortal,2004
Lil' Flip,20,Sunshine,2004
Jay-Z,21,Dirt Off Your Shoulder,2004
Nina Sky,22,Move Ya Body,2004
Christina Milian,23,Dip It Low,2004
Usher,24,My Boo,2004
Chingy,25,One Call Away,2004
Beyoncé,26,"Me, Myself and I",2004
Kevin Lyttle,27,Turn Me On,2004
Sheryl Crow,28,The First Cut Is the Deepest,2004
Alicia Keys,29,You Don't Know My Name,2004
Nelly,30,My Place,2004
Twista,31,Overnight Celebrity,2004
Cassidy,32,Hotel,2004
Linkin Park,33,Numb,2004
Alicia Keys,34,Diary,2004
Maroon 5,35,She Will Be Loved,2004
Dido,36,White Flag,2004
Los Lonely Boys,37,Heaven,2004
No Doubt,38,It's My Life,2004
Ashlee Simpson,39,Pieces of Me,2004
JoJo,40,Leave (Get Out),2004
Kelis,41,Milkshake,2004
Ludacris,42,Splash Waterfalls,2004
Kanye West,43,Jesus Walks,2004
Akon,44,Locked Up,2004
Ludacris,45,Stand Up,2004
Baby Bash,46,Suga Suga,2004
Kanye West,47,All Falls Down,2004
Britney Spears,48,Toxic,2004
Ying Yang Twins,49,Salt Shaker,2004
Jessica Simpson,50,With You,2004
Switchfoot,51,Meant to Live,2004
Houston,52,I Like That,2004
Ruben Studdard,53,Sorry 2004,2004
Avril Lavigne,54,My Happy Ending,2004
Lloyd Banks,55,On Fire,2004
Outkast,56,Roses,2004
Jagged Edge,57,Walked Outta Heaven,2004
Destiny's Child,58,Lose My Breath,2004
D12,59,My Band,2004
Sean Paul,60,I'm Still in Love with You,2004
Kanye West,61,Through the Wire,2004
Jadakiss,62,Why?,2004
Eamon,63,Fuck It (I Don't Want You Back),2004
Avant,64,Read Your Mind,2004
Lil' Flip,65,Game Over (Flip),2004
Finger Eleven,66,One Thing,2004
LL Cool J,67,Headsprung,2004
YoungBloodZ,68,Damn!,2004
Beyoncé,69,Baby Boy,2004
Lil Jon &amp; the East Side Boyz,70,Get Low,2004
Snoop Dogg,71,Drop It Like It's Hot,2004
Monica,72,U Should've Known Better,2004
Ryan Cabrera,73,On the Way Down,2004
Kelly Clarkson,74,Breakaway,2004
Santana,75,Why Don't You &amp; I,2004
Jet,76,Are You Gonna Be My Girl,2004
Five for Fighting,77,100 Years,2004
R. Kelly,78,Step in the Name of Love,2004
Linkin Park,79,Breaking the Habit,2004
Nick Cannon,80,Gigolo,2004
Tim McGraw,81,Live Like You Were Dying,2004
Alan Jackson,82,Remember When,2004
Britney Spears,83,Everytime,2004
Lloyd,84,Southside,2004
Beenie Man,85,Dude,2004
G-Unit,86,Wanna Get to Know You,2004
Chingy,87,Holidae In,2004
The Black Eyed Peas,88,Let's Get It Started,2004
Kenny Chesney,89,When the Sun Goes Down,2004
Toby Keith,90,American Soldier,2004
Jay-Z,91,Change Clothes,2004
Avril Lavigne,92,Don't Tell Me,2004
Keith Urban,93,You'll Think of Me,2004
R. Kelly,94,Happy People,2004
The Black Eyed Peas,95,Hey Mama,2004
Nelly,96,Over and Over,2004
Gretchen Wilson,97,Redneck Woman,2004
Eminem,98,Just Lose It,2004
John Michael Montgomery,99,Letters from Home,2004
Kenny Chesney,100,I Go Back,2004
Mariah Carey,1,We Belong Together,2005
Gwen Stefani,2,Hollaback Girl,2005
Mario,3,Let Me Love You,2005
Kelly Clarkson,4,Since U Been Gone,2005
Ciara,5,"1, 2 Step",2005
Kanye West,6,Gold Digger,2005
Green Day,7,Boulevard of Broken Dreams,2005
50 Cent,8,Candy Shop,2005
The Pussycat Dolls,9,Don't Cha,2005
Kelly Clarkson,10,Behind These Hazel Eyes,2005
50 Cent,11,Disco Inferno,2005
Lifehouse,12,You and Me,2005
The Black Eyed Peas,13,Don't Phunk with My Heart,2005
Missy Elliott,14,Lose Control,2005
Mariah Carey,15,Shake It Off,2005
The Killers,16,Mr. Brightside,2005
50 Cent,17,Just a Lil Bit,2005
Rihanna,18,Pon de Replay,2005
The Game,19,How We Do,2005
Weezer,20,Beverly Hills,2005
Ciara,21,Oh,2005
Rob Thomas,22,Lonely No More,2005
Snoop Dogg,23,Drop It Like It's Hot,2005
The Game,24,Hate It or Love It,2005
Lil Jon,25,Lovers &amp; Friends,2005
Destiny's Child,26,Soldier,2005
Kelly Clarkson,27,Breakaway,2005
Will Smith,28,Switch,2005
Bow Wow,29,Let Me Hold You,2005
Bow Wow,30,Like You,2005
Gwen Stefani,31,Rich Girl,2005
The Black Eyed Peas,32,My Humps,2005
Frankie J,33,Obsession (No Es Amor),2005
Usher,34,Caught Up,2005
DHT,35,Listen to Your Heart,2005
Papa Roach,36,Scars,2005
Gorillaz,37,Feel Good Inc.,2005
3 Doors Down,38,Let Me Go,2005
Green Day,39,Holiday,2005
Fall Out Boy,40,"Sugar, We're Goin Down",2005
Pretty Ricky,41,Grind with Me,2005
Chris Brown,42,Run It!,2005
Nickelback,43,Photograph,2005
Akon,44,Lonely,2005
Howie Day,45,Collide,2005
Green Day,46,Wake Me Up When September Ends,2005
Bobby Valentino,47,Slow Down,2005
Nelly,48,Over and Over,2005
Trillville,49,Some Cut,2005
Fat Joe,50,Get It Poppin',2005
David Banner,51,Play,2005
Young Jeezy,52,Soul Survivor,2005
Ludacris,53,Pimpin' All Over the World,2005
Usher,54,My Boo,2005
Trick Daddy,55,Sugar (Gimme Some),2005
Alicia Keys,56,Karma,2005
Coldplay,57,Speed of Sound,2005
Gavin DeGraw,58,I Don't Want to Be,2005
Eminem,59,Mockingbird,2005
Shakira,60,La Tortura,2005
Maroon 5,61,She Will Be Loved,2005
Baby Bash,62,Baby I'm Back,2005
Ying Yang Twins,63,Wait (The Whisper Song),2005
Backstreet Boys,64,Incomplete,2005
T.I.,65,Bring Em Out,2005
Destiny's Child,66,Cater 2 U,2005
Amerie,67,1 Thing,2005
Foo Fighters,68,Best of You,2005
Mariah Carey,69,It's Like That,2005
Natalie,70,Goin' Crazy,2005
Carrie Underwood,71,Inside Your Heaven,2005
Kelly Clarkson,72,Because of You,2005
Fantasia,73,Truth Is,2005
Pretty Ricky,74,Your Body,2005
Jesse McCartney,75,Beautiful Soul,2005
Gwen Stefani,76,Cool,2005
Ludacris,77,Get Back,2005
50 Cent,78,Outta Control,2005
T.I.,79,U Don't Know Me,2005
Natasha Bedingfield,80,These Words,2005
The Black Eyed Peas,81,Don't Lie,2005
Jennifer Lopez,82,Get Right,2005
John Mayer,83,Daughters,2005
Toby Keith,84,As Good as I Once Was,2005
Brooke Valentine,85,Girlfight,2005
Destiny's Child,86,Lose My Breath,2005
John Legend,87,Ordinary People,2005
Sean Paul,88,We Be Burnin',2005
The Click Five,89,Just the Girl,2005
Ryan Cabrera,90,True,2005
Omarion,91,O,2005
Mike Jones,92,Back Then,2005
Jay-Z,93,Numb/Encore,2005
Ja Rule,94,Wonderful,2005
T-Pain,95,I'm Sprung,2005
Gavin DeGraw,96,Chariot,2005
112,97,U Already Know,2005
Faith Hill,98,Mississippi Girl,2005
Ludacris,99,Number One Spot,2005
Webbie,100,Give Me That,2005
Daniel Powter,1,Bad Day,2006
Sean Paul,2,Temperature,2006
Nelly Furtado,3,Promiscuous,2006
James Blunt,4,You're Beautiful,2006
Shakira,5,Hips Don't Lie,2006
Natasha Bedingfield,6,Unwritten,2006
Gnarls Barkley,7,Crazy,2006
Chamillionaire,8,Ridin',2006
Justin Timberlake,9,SexyBack,2006
Beyoncé,10,Check on It,2006
Mary J. Blige,11,Be Without You,2006
Nelly,12,Grillz,2006
The Fray,13,Over My Head (Cable Car),2006
Cassie,14,Me &amp; U,2006
Pussycat Dolls,15,Buttons,2006
Chris Brown,16,Run It!,2006
Ne-Yo,17,So Sick,2006
Yung Joc,18,It's Goin' Down,2006
Rihanna,19,SOS,2006
Panic! at the Disco,20,I Write Sins Not Tragedies,2006
The All-American Rejects,21,Move Along,2006
Fergie,22,London Bridge,2006
Red Hot Chili Peppers,23,Dani California,2006
Lil Jon,24,Snap Yo Fingers,2006
Dem Franchize Boyz,25,"Lean wit It, Rock wit It",2006
Rascal Flatts,26,What Hurts the Most,2006
The Fray,27,How to Save a Life,2006
Rihanna,28,Unfaithful,2006
Snow Patrol,29,Chasing Cars,2006
Hinder,30,Lips of an Angel,2006
Cascada,31,Everytime We Touch,2006
Christina Aguilera,32,Ain't No Other Man,2006
Fall Out Boy,33,"Dance, Dance",2006
Kanye West,34,Gold Digger,2006
Ludacris,35,Money Maker,2006
Bubba Sparxxx,36,Ms. New Booty,2006
Sean Paul,37,(When You Gonna) Give It Up to Me,2006
Nickelback,38,Photograph,2006
Kelly Clarkson,39,Because of You,2006
Pussycat Dolls,40,Stickwitu,2006
T-Pain,41,I'm 'n Luv (wit a Stripper),2006
The Black Eyed Peas,42,My Humps,2006
Fort Minor,43,Where'd You Go,2006
Chris Brown,44,Yo (Excuse Me Miss),2006
Kelly Clarkson,45,Walk Away,2006
D4L,46,Laffy Taffy,2006
T.I.,47,What You Know,2006
The All-American Rejects,48,Dirty Little Secret,2006
Nickelback,49,Savin' Me,2006
Mariah Carey,50,Don't Forget About Us,2006
Ne-Yo,51,Sexy Love,2006
E-40,52,U and Dat,2006
Nickelback,53,Far Away,2006
Nick Lachey,54,What's Left of Me,2006
Field Mob,55,So What,2006
Cherish,56,Do It to It,2006
KT Tunstall,57,Black Horse and the Cherry Tree,2006
Juelz Santana,58,There It Go (The Whistle Song),2006
Young Dro,59,Shoulder Lean,2006
Jamie Foxx,60,Unpredictable,2006
Justin Timberlake,61,My Love,2006
Eminem,62,Shake That,2006
Chingy,63,Pullin' Me Back,2006
Kelis,64,Bossy,2006
Jibbs,65,Chain Hang Low,2006
Akon,66,Smack That,2006
Ray J,67,One Wish,2006
Fall Out Boy,68,"Sugar, We're Goin Down",2006
Chris Brown,69,Gimme That,2006
Yung Joc,70,I Know You See It,2006
Bon Jovi,71,Who Says You Can't Go Home,2006
JoJo,72,Too Little Too Late,2006
Busta Rhymes,73,Touch It,2006
Daddy Yankee,74,Rompe,2006
Beyoncé,75,Déjà Vu,2006
Rascal Flatts,76,Life Is a Highway,2006
Evanescence,77,Call Me When You're Sober,2006
Carrie Underwood,78,"Jesus, Take the Wheel",2006
Danity Kane,79,Show Stopper,2006
Ciara,80,Get Up,2006
Sean Paul,81,We Be Burnin',2006
Blue October,82,Hate Me,2006
Lifehouse,83,You and Me,2006
Pussycat Dolls,84,Beep,2006
Dem Franchize Boyz,85,I Think They Like Me,2006
Chris Brown,86,Say Goodbye,2006
John Mayer,87,Waiting on the World to Change,2006
Young Jeezy,88,Soul Survivor,2006
The Black Eyed Peas,89,Pump It,2006
Eminem,90,When I'm Gone,2006
Madonna,91,Hung Up,2006
Three 6 Mafia,92,Stay Fly,2006
Keyshia Cole,93,Love,2006
Ne-Yo,94,When You're Mad,2006
T.I.,95,Why You Wanna,2006
Pink,96,Stupid Girls,2006
Gorillaz,97,Feel Good Inc.,2006
T-Pain,98,I'm Sprung,2006
Taylor Hicks,99,Do I Make You Proud,2006
Teddy Geiger,100,For You I Will (Confidence),2006
Beyoncé,1,Irreplaceable,2007
Rihanna,2,Umbrella,2007
Gwen Stefani,3,The Sweet Escape,2007
Fergie,4,Big Girls Don't Cry,2007
T-Pain,5,Buy U a Drank (Shawty Snappin'),2007
Carrie Underwood,6,Before He Cheats,2007
Plain White T's,7,Hey There Delilah,2007
Akon,8,I Wanna Love You,2007
Nelly Furtado,9,Say It Right,2007
Fergie,10,Glamorous,2007
Akon,11,Don't Matter,2007
Avril Lavigne,12,Girlfriend,2007
Maroon 5,13,Makes Me Wonder,2007
Shop Boyz,14,Party Like a Rockstar,2007
Akon,15,Smack That,2007
Mims,16,This Is Why I'm Hot,2007
Daughtry,17,It's Not Over,2007
Timbaland,18,The Way I Are,2007
Fergie,19,Fergalicious,2007
Soulja Boy Tell 'Em,20,Crank That (Soulja Boy),2007
Timbaland,21,Give It to Me,2007
Justin Timberlake,22,What Goes Around... Comes Around,2007
Gym Class Heroes,23,Cupid's Chokehold,2007
The Fray,24,How to Save a Life,2007
Daughtry,25,Home,2007
Justin Timberlake,26,My Love,2007
Kanye West,27,Stronger,2007
Jim Jones,28,We Fly High,2007
Pink,29,U + Ur Hand,2007
Unk,30,Walk It Out,2007
Sean Kingston,31,Beautiful Girls,2007
Fall Out Boy,32,"This Ain't a Scene, It's an Arms Race",2007
T-Pain,33,Bartender,2007
Huey,34,"Pop, Lock &amp; Drop It",2007
Ludacris,35,Runaway Love,2007
Nickelback,36,Rockstar,2007
Fall Out Boy,37,Thnks fr th Mmrs,2007
Linkin Park,38,What I've Done,2007
Justin Timberlake,39,Summer Love,2007
Lloyd,40,You,2007
Elliott Yamin,41,Wait for You,2007
Diddy,42,Last Night,2007
Fat Joe,43,Make It Rain,2007
Fabolous,44,Make Me Better,2007
Omarion,45,Ice Box,2007
Hinder,46,Lips of an Angel,2007
John Mayer,47,Waiting on the World to Change,2007
Robin Thicke,48,Lost Without U,2007
R. Kelly,49,I'm a Flirt,2007
Nickelback,50,If Everyone Cared,2007
Lloyd,51,Get It Shawty,2007
The Red Jumpsuit Apparatus,52,Face Down,2007
Baby Boy da Prince,53,The Way I Live,2007
Bow Wow,54,Shortie Like Mine,2007
The All-American Rejects,55,It Ends Tonight,2007
Hurricane Chris,56,A Bay Bay,2007
Ne-Yo,57,Because of You,2007
Bone Thugs-n-Harmony,58,I Tried,2007
My Chemical Romance,59,Welcome to the Black Parade,2007
Plies,60,Shawty,2007
Snow Patrol,61,Chasing Cars,2007
Beyoncé,62,Beautiful Liar,2007
Justin Timberlake,63,SexyBack,2007
Avril Lavigne,64,Keep Holding On,2007
Keyshia Cole,65,Let It Go,2007
Timbaland,66,Apologize,2007
Colbie Caillat,67,Bubbly,2007
Ciara,68,Like a Boy,2007
Pink,69,Who Knew,2007
Kelly Clarkson,70,Never Again,2007
Ciara,71,Promise,2007
J. Holiday,72,Bed,2007
Rich Boy,73,Throw Some D's,2007
Amy Winehouse,74,Rehab,2007
T.I.,75,Big Shit Poppin' (Do It),2007
Alicia Keys,76,No One,2007
Boys Like Girls,77,The Great Escape,2007
Unk,78,2 Step,2007
Paula DeAnda,79,Walk Away (Remember Me),2007
Young Jeezy,80,Go Getta,2007
Hellogoodbye,81,Here (In Your Arms),2007
Pretty Ricky,82,On the Hotline,2007
Gwen Stefani,83,Wind It Up,2007
